Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_19_25,VGND,li1,17.7100,65.2800,0.000029
FILLER_18_131,VGND,li1,66.4700,59.8400,0.000094
FILLER_18_128,VGND,li1,65.0900,59.8400,0.000094
FILLER_18_125,VGND,li1,63.7100,59.8400,0.000094
FILLER_18_111,VGND,li1,56.8100,59.8400,0.000094
FILLER_18_108,VGND,li1,55.8900,59.8400,0.000094
FILLER_18_90,VGND,li1,47.3800,59.8400,0.000088
FILLER_18_83,VGND,li1,43.9300,59.8400,0.000084
FILLER_18_80,VGND,li1,43.0100,59.8400,0.000081
FILLER_18_70,VGND,li1,38.1800,59.8400,0.000070
FILLER_18_67,VGND,li1,37.0300,59.8400,0.000070
FILLER_18_64,VGND,li1,35.6500,59.8400,0.000065
FILLER_18_61,VGND,li1,34.2700,59.8400,0.000065
FILLER_18_58,VGND,li1,32.8900,59.8400,0.000062
FILLER_18_55,VGND,li1,31.5100,59.8400,0.000057
FILLER_18_52,VGND,li1,30.1300,59.8400,0.000057
FILLER_18_35,VGND,li1,21.8500,59.8400,0.000040
FILLER_18_32,VGND,li1,20.9300,59.8400,0.000040
FILLER_18_29,VGND,li1,19.5500,59.8400,0.000040
FILLER_18_25,VGND,li1,17.7100,59.8400,0.000040
FILLER_18_6,VGND,li1,8.9700,59.8400,0.000040
FILLER_18_3,VGND,li1,7.5900,59.8400,0.000040
FILLER_17_133,VGND,li1,66.9300,59.8400,0.000094
FILLER_17_130,VGND,li1,66.0100,59.8400,0.000094
FILLER_17_127,VGND,li1,64.6300,59.8400,0.000094
FILLER_17_124,VGND,li1,63.2500,59.8400,0.000094
FILLER_17_121,VGND,li1,61.8700,59.8400,0.000094
FILLER_17_118,VGND,li1,60.4900,59.8400,0.000094
FILLER_17_110,VGND,li1,56.5800,59.8400,0.000094
FILLER_17_107,VGND,li1,55.4300,59.8400,0.000094
FILLER_17_104,VGND,li1,54.0500,59.8400,0.000094
FILLER_17_81,VGND,li1,43.4700,59.8400,0.000081
FILLER_17_78,VGND,li1,42.0900,59.8400,0.000081
FILLER_17_75,VGND,li1,40.7100,59.8400,0.000075
FILLER_17_72,VGND,li1,39.3300,59.8400,0.000075
FILLER_17_69,VGND,li1,37.9500,59.8400,0.000070
FILLER_17_66,VGND,li1,36.5700,59.8400,0.000070
FILLER_17_63,VGND,li1,35.1900,59.8400,0.000065
FILLER_17_60,VGND,li1,33.8100,59.8400,0.000062
FILLER_17_57,VGND,li1,32.4300,59.8400,0.000062
FILLER_17_33,VGND,li1,21.3900,59.8400,0.000040
FILLER_17_30,VGND,li1,20.0100,59.8400,0.000040
