Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_63,VGND,li1,35.1900,48.9600,0.000021
FILLER_13_60,VGND,li1,33.8100,48.9600,0.000019
FILLER_13_57,VGND,li1,32.4300,48.9600,0.000019
FILLER_13_53,VGND,li1,30.5900,48.9600,0.000017
FILLER_13_50,VGND,li1,29.2100,48.9600,0.000016
FILLER_13_47,VGND,li1,27.8300,48.9600,0.000014
FILLER_13_44,VGND,li1,26.4500,48.9600,0.000014
FILLER_13_41,VGND,li1,25.0700,48.9600,0.000012
FILLER_13_38,VGND,li1,23.6900,48.9600,0.000012
FILLER_13_35,VGND,li1,22.3100,48.9600,0.000013
FILLER_13_32,VGND,li1,20.9300,48.9600,0.000013
FILLER_13_29,VGND,li1,19.5500,48.9600,0.000013
FILLER_13_20,VGND,li1,15.1800,48.9600,0.000015
FILLER_13_17,VGND,li1,14.0300,48.9600,0.000015
FILLER_12_103,VGND,li1,53.5900,43.5200,0.000027
FILLER_12_85,VGND,li1,44.8500,43.5200,0.000024
FILLER_12_81,VGND,li1,43.4700,43.5200,0.000024
FILLER_12_78,VGND,li1,42.0900,43.5200,0.000024
FILLER_12_69,VGND,li1,37.4900,43.5200,0.000021
FILLER_12_66,VGND,li1,36.5700,43.5200,0.000021
FILLER_12_63,VGND,li1,35.1900,43.5200,0.000019
FILLER_12_43,VGND,li1,25.7600,43.5200,0.000013
FILLER_12_40,VGND,li1,24.6100,43.5200,0.000014
FILLER_12_37,VGND,li1,23.2300,43.5200,0.000014
FILLER_12_34,VGND,li1,21.8500,43.5200,0.000016
FILLER_12_29,VGND,li1,19.0900,43.5200,0.000017
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000017
FILLER_12_24,VGND,li1,17.2500,43.5200,0.000018
FILLER_12_21,VGND,li1,15.8700,43.5200,0.000018
FILLER_12_18,VGND,li1,14.4900,43.5200,0.000018
FILLER_12_3,VGND,li1,7.3600,43.5200,0.000019
FILLER_11_113,VGND,li1,57.7300,43.5200,0.000027
FILLER_11_103,VGND,li1,53.1300,43.5200,0.000027
FILLER_11_93,VGND,li1,48.7600,43.5200,0.000026
FILLER_11_90,VGND,li1,47.6100,43.5200,0.000025
FILLER_11_87,VGND,li1,46.2300,43.5200,0.000025
FILLER_11_84,VGND,li1,44.8500,43.5200,0.000024
FILLER_11_75,VGND,li1,40.4800,43.5200,0.000022
FILLER_11_72,VGND,li1,39.3300,43.5200,0.000022
FILLER_11_63,VGND,li1,34.7300,43.5200,0.000019
FILLER_11_60,VGND,li1,33.8100,43.5200,0.000019
FILLER_11_57,VGND,li1,32.4300,43.5200,0.000018
FILLER_11_47,VGND,li1,27.3700,43.5200,0.000015
FILLER_11_44,VGND,li1,26.4500,43.5200,0.000013
FILLER_11_40,VGND,li1,24.1500,43.5200,0.000014
FILLER_11_23,VGND,li1,16.3300,43.5200,0.000018
FILLER_10_111,VGND,li1,57.2700,38.0800,0.000035
FILLER_10_108,VGND,li1,55.8900,38.0800,0.000035
FILLER_10_94,VGND,li1,49.2200,38.0800,0.000033
FILLER_10_91,VGND,li1,48.0700,38.0800,0.000032
FILLER_10_88,VGND,li1,46.6900,38.0800,0.000032
FILLER_10_85,VGND,li1,45.3100,38.0800,0.000031
FILLER_10_75,VGND,li1,40.7100,38.0800,0.000029
